product_id,department_id,subdepartment_id,supplier_id,product_name,price,product_description
62,6,1,12,"PatioFestival Patio Dining Set 5 Pieces Outdoor Furniture Sets 50,000 BTU Square Propane Fire Pit Table with Swivel Rocker Dining Chairs(Grey)",1059.6,"360 DEGREE SWIVEL CHAIRS: Swivel function provides extra comfort and relaxation. These patio dining chairs perform a smooth 360-degree spin and slight rocking motion while you enjoy your meal. Set the mood with comfortable and relax seating for your patio. Attached to the swivel seat frame, the chair arms are heat-resistant, wear-resistant, and provide increased rocking comfort when lounging and relaxing. Each chair seat supports up to 300 pounds.
➤COMFORT TEXTILENE FABRIC: Patio dining chairs with excellent textilene fabric,which is comfortable to sit and fits your body line perfectly.You will like the touch and comfort.Curved arms and well ventilated seat won't make you feel ache or sweat after long-time sitting,suitable for use all over the year. The extra thickened steel frame ensures its durability for years to come. In additional, an extra metal crossbar is added under the chair for a sturdier frame and better weight capacity.
➤MULTI-FUNCTION FIRE PIT TABLE: 50,000 BTU fire table can keeps you warm without smoke on many wonderful night. The flame level and heat output is adjustable by using the control knob. (Flame height from 1-9"" approximately). There's enough room on the sides for drinks and small plates. Fuel type: 20 lb propane tank.(Not included). Propane is easier to ignite than wood or charcoal. The side door can come off with ease. Included top lid can converts this into a outdoor dining table.
➤ALL-WEATHER MATERIAL: Patio chairs and table set is crafted with a galvanized steel frame.This weather resistant patio dining set is designed to be rust-resistant and long-lasting. Breathable textilene fabric filled with sponges, padded chairs will bring you ultimate seating comfort. Tabletop uses thermal transfer technology. The wood look of tabletop can last for years which are made of metal material.
➤SAFE PATIO FURNITURE SET: Whether for enjoying a outdoor bonfire party in patio or sit back and enjoy the dancing flames in poolside,this patio dining set compliments any outdoor space. This all weather table and chairs set includes a 50,000 BTU square fire table and 4 padded outdoor chairs. Cups and other decorations are not included. CSA Certification fire table provides you a safe and green burning,creating a warm and romantic bonfire atmosphere. No smoke when burning. Lava Rocks included."
63,6,1,12,"Sophia & William Patio Dining Set 7 Pieces Outdoor Metal Furniture Set, 6 x Swivel Dining Chairs with 1 x 6 Person Wood Like Umbrella Table for Outdoor Lawn Garden",1299.99,"-Weather-Resistant: Our metal table and chair furniture set made of sturdy metal steel frame with powder coating, rust resistant, easy to clean, no special care
-Comfortable Design: Smooth 360 degree swivel chair with high density spun polyester cushion, stylish wood like table design will brings aesthetic feeling to your patio, lawn, garden.
-Outdoor & Indoor Occasion: Our dining sets is not only suitable for outdoor garden lawn patio pool coffee time but also suitable for indoor kitchen living room dinner time.
-Dimension: large umbrella table 6 person table L61.42"" x W37.8"" x H28.94"", swivel chair: seat height 15.5"", seat width 20"".
You may receive 4 packages on different days. Comes with 1 dining table, 6 dining swivel chairs in 3 packages. If you have any problems with your order, please contact us, we'll help you solve it We back our products with a manufacturers warranty against defective workmanship or parts missing."
64,6,1,12,"Christopher Knight Home 315046 Azalea Outdoor Dining Sets, Black + Teak",777.76,"-TRANSITIONAL: The transitional style of this dining set is sure to give your outdoor space a minimalistic yet classic look that will match seamlessly with any arrangement you currently have. With a simple yet outstanding mix of materials, this set will give your backyard an instant upgrade in style and comfort.
-ACACIA WOOD TABLETOP: Made with acacia wood that brings a sleek and exotic look to your space, this durable hardwood naturally withstands outdoor elements and will not darken over time. Acacia wood is perfect as a solid, heavy frame that resists wear and tear.
-SLAT DESIGN: The top of the table features beautiful slat paneling, giving this piece a sophisticated, classic look. This perfectly complements the modern yet traditional look of this set, giving this set a wonderfully cohesive feel to your decor.
-POLYPROPYLENE RESIN SEATING: Created with high-quality, specially designed polypropylene, our chairs are made to be highly durable and weather-resistant. Each individual component of our polypropylene blend is specifically chosen to create a unique mixture that ensures that your product is of the best quality.
-DIMENSIONS: Choose an accessory that is the perfect size for you and your furniture. Each chair is 23.00” W x 21.50” D x 33.00” H and the table is 59.25” W x 35.50” D x 30.00” H. You will love how much your space can transform with the simple addition of this charming dining set. This set includes six chairs and one dining table.
Ships in several boxes, may ship separately
"
65,6,1,12,Flash Furniture 28'' Square Glass Metal Table with Dark Brown Rattan Edging and 2 Dark Brown Rattan Stack Chairs,174.47,"-Make the most of bright sunny days and laid back sultry evenings when you have this comfortable table and chair set. Perfect for a home patio, poolside or the courtyard at your restaurant or cafe, this is a definite outdoor upgrade
-Square table with 5mm thick glass, clear tempered glass surface, 1.375"" edge top with decorative rattan edge band
-Lightweight design café chair, curved rattan seat and back, stacks 23 high, holds up to 352 lb. weight capacity
-Contemporary glass and metal table and chair set for commercial and residential use
PRODUCT MEASUREMENTS >>> Table Size: 28""W x 28""D x 28""H | Base Size: 25.5""W | Chair Size: 21.75""W x 23.5""D x 28.5""H | Back Size: 11.5""W x 13.5""H | Seat Size: 16.5""W x 15""D x 17""H
-Ships in several boxes, may ship separately.
"
66,6,1,12,"Incbruce 7Pcs Outdoor Patio Furniture Conversation Sets (Loveseat, Coffee Table and Bistro Table, 2 Spring Chair, 2 Lounge Chairs) - Steel Frame Cafe Furniture Sets with Cushions (Peacock Blue)",599.99,"MATERIAL: Powder coated stable steel frame, rust and weather resistant. Extra-padded cushions for superior comfort when sitting. Solid and stable metal table with beauty honey comb top.
FUNCTION: This conversation set is stylish and perfect for any outdoor space including yards, patios, gardens, porches or indoors if you want. You can eat, play games or bask in the sun with your friends.
FEATURES: Curved arms and an extra wide seat with padded cushion provide a high quality user experience. The unique back design not only makes the seating sturdier. The padded cushions are well-made. Padded cushions with removable covers allow for easy cleaning and maintenance
Product Dimension: Loveseat 47.24” (L)x 29.53” (w) x 33.85” (H); Coffee Table 35.8” (L)x19.68” (w) x 18.5” (H); Bistro Table: 20""(D) x 17.7""(H); Spring Chairs: 29"" (L) x 25.2"" (w) x 34.24""(H); Lounge Chair 29.53” (L)x 25.11” (w) x 33.86” (H); Cushion:3.9” thick.
Easy to Assemble: Follow the instruction, easy and quick assembly. Includes all hardware & necessary tools. If you have any questions, please feel free to contact us and our customer service team will respond within 24 hours to assist you."
67,3,1,3,"Googipet 10 in 1 Dog Multivitamin with Glucosamine & PurforMSM for dog hip and joint support - Essential Dog Vitamins w/ Chondroitin, Probiotics & Omega Fish Oil -One dog supplement for overall health",24.99,"10 Benefits In 1 Daily Treat – Googipet’S 10-In-1 Multivitamin Treats Combine The Most Essential Vitamins And Supplements Including Glucosamine, Probiotics, Vitamins And Omegas, For Dogs’ Overall Daily Health. More Energy And Less Health Problems! For Big Dogs, Medium Sized Dogs, And Small Dogs!
Joint Health With Glucosamine - Our All-Natural Soft Chew Supplement Treats Have High Amounts Of Glucosamine, Purformsm And Other Proven Joint Support Ingredients That Reduce Joint Inflammation And Increase Mobility And Flexibility.
Improve Digestion With 1 Billion Cfu Probiotics - These One A Day Dog Vitamins Contain Probiotics, Pumpkin And Vitamins That Help Keep Your Dog’S Digestive System Running Smoothly And Decrease Diarrhea, Vomiting And Stomach Issues.
Healthy Skin + Coat With Omegas - Egg Shell Meal And Omegas From Krill Oil And Flaxseed Heal Dry, Itchy And Flaky Skin And Increase Coat Strength, Shine And Overall Health.
Immune System + Heart Health With Vitamins A, C And D3 - A Blend Of Vitamins With Anti-Inflammatory And Antioxidant Properties Improves Immune System And Keeps Heart Strong And Healthy. Your Dog Will Love Our Chew Taste, Making It Easy For You To Improve Your Dog’s Overall Health."
68,3,1,3,"VetPro Dog Vitamins and Supplements - Pet Multivitamins with Probiotics, Glucosamine for Hip and Joint Health, Immune System Support, Allergy Meds - 5 in 1 Chewable Multivitamin for Puppy to Senior",29.95,"VETERINARIAN FORMULATED - Our dog vitamins and supplements focus on five key areas. Dog probiotics for digestive function, dog skin and coat supplement, joint mobility, heart health and enhanced immunity. Formulated by a vet with over 30 years of experience, our multivitamins for dogs are a nutritional dog supplement to promote ideal functioning and longevity. VetPro's essential dog health supplies improve your pet's overall health and well-being. Ideal puppy vitamins and senior dog vitamins.
PROMOTES OPTIMAL DIGESTIVE FUNCTIONING - Our dog probiotic supplement is specially formulated to prevent diarrhea, loss of appetite, constipation, gas, and bloating. Superior digestive health begins with the optimal blend of ingredients in our dog supplements with 500 million CFU per chew.
KEEP YOUR DOG ACTIVE - Our proprietary vitamins for dogs are not high calorie dog supplements. They are supplements with active ingredients that every pet needs for hip and joint health. With powerful ingredients like Glucosamin HCL, Chondroitin, MSM, and Turmeric, our multivitamin targets inflammation which can cause pain and interfere with an active lifestyle.
A BEAUTIFUL COAT IS A HEALTHY COAT - Each tasty chew includes fish oil and Vitamin E to help reduce itching, allergies, and dry skin. Promote a silky, smooth coat and reduce skin irritation with our enriched formula designed to help your best friend look and feel great.
SUPERIOR INGREDIENTS FOR LONGEVITY - Our multivitamin chews include powerful Omega-3, natural antioxidants, and key vitamins to help promote a strong healthy heart and cardiovascular system. Vitamins A, B, C, and E will boost your pup's immune system. Your pet's health is your responsibility, so provide them with only the best."
69,3,1,3,"PetHonesty 100% Natural Omega-3 Fish Oil for Dogs from Iceland - Omega-3 for Dogs - Pet Liquid Food Supplement- EPA + DHA Fatty Acids Reduce Shedding & Itching- Supports Joints, Brain & Heart Health",25.99,"Made With Wild-Caught Fish From Iceland - PetHonesty's Omega-3 Fish Oil is made with sardines, mackerel, anchovies and herrings, caught in the pure and clean waters off the coast of Iceland. These fish are high in Omega-3s but low in mercury and toxins and will help support your dog's joint, heart, immune system, skin, coat and overall health.
Naturally Purified To Remove 99.9% Of Fishy Taste + Smell - Your dogs will love the taste of our 100% natural Omega-3 Fish Oil mixed right into their food. And you'll love that it has hardly any fishy smell! Our Omega-3 Fish Oil is naturally purified to remove the fishy odor and taste found in most fish and salmon oils for dogs. We use a 3rd Party tester to ensure potency and purity of our product and bottle our oils in a GMP certified facility in the U.S.A.
Maintain A Healthy + Glossy Coat: The high amounts of DHA, EPA and other Omega-3 fatty acids found in this 100% Natural Fish Oil for dogs will promote healthy skin and a glossy coat in your dog. One serving of our Omega-3 oil contains 800mg of EPA and 525mg of DHA that also supports the immune system
Support Immune System + Proper Joint Nutrition: The Omega-3's supplied by PetHonesty's Omega-3 Fish Oil will not only promote healthy skin and coat but also help support a healthy immune response and normal inflammatory response in your dog's body. This supports overall health and wellbeing for your dog.
Vet-recommended As A Healthy Source Of Omegas: PetHonesty's Omega-3 Fish Oil has been reviewed and recommended by veterinarians as a healthy source of omegas to help support healthy joints, cardiovascluar health, immune system and skin/coat."
70,3,1,3,Christmas Dog Bandanas Triangle Dog Scarf Adjustable Washable for Christmas Pet Costume Supply,8.99,"Fit to most pets: The pet's bandana is triangular, size is 27.6""*18.9""*18.9"", perfect for small to large dogs, such as Labrador, Boxer, Doberman, German Shepard, etc. animals like dog, cat, rabbit, alpaca are suitable for this bib.
The bandanas have cute print, you can found Christmas elements, such as santa claus,snowman etc, it’s can be a very cute gifts for dog in Christmas.
High quality fabric: made of carefully selected polyester fabric with bright color and soft touch, it will gently care for your dog's skin and hair. Ventilation and comfort, will not let the dog feel uncomfortable, and solve the dog's saliva problem.
Wide scope of application: washable cat scarf with beautiful design is applicable in occasions like , birthday party and Christmas; Apart from being ornament to decorate your pets, what the scarf performs better is to collect the saliva made by pets, helping to clean their mouth.
Best gift: surprise your pet before Christmas. When you take your dog out to buy some candy, everyone will pay attention to your charming baby dog."
71,3,1,3,K9 Sport Sack Knavigate | Dog Carrier Dog Backpack for Most Dog Sizes | Front Facing Adjustable Dog Backpack Carrier | Veterinarian Approved,174.95,"THE MEDIUM K9 SPORT SACK KNAVIGATE will fit dogs with the length of 17-20 inches and have a girth up to 28 inches. Typical dog breeds that will fit this size backpack include Jack Russel Terrier, Lhasa Apso, Pug, Havanese and Schipperke. Use it as a dog travel bag for hiking, bikes, subways, shopping, motorcycles, skiing, dancing..heck the possibilities are endless!
KNAVIGATE BACKPACK: Do you hate seeing big, sad puppy dogs eyes as you walk out the door for an adventure, leaving your best friend behind? Our trainer dog sports backpack are ideal for owners who want to take their pups with them, but are looking for an economical solution. Our backpack carrier are great for dogs who suffer from anxiety, depression, or have a physical disability. Our pet backpack are also great for older dogs or puppys that may not have the stamina for your next big adventure.
ROUND TALL FAT SMALL: We get it! Dogs come in all shapes and sizes, and not every pet travel bag fits the same. We have your dog covered! Our dog travel carrier is available in multiple sizes from X-Small to X-Large. We have a dog carrier bag that will fit almost any dog breed. View the product images to the left to find the right size for your dog! Please contact us and visit our website for more accurate sizing recommendations.
SPORT SACK IS THE NEW BLACK: (Tip) For all the chubby dogs out there with a few fat rolls over the collar, our Midnight Black dog hiking backpack is very slimming! Jokes aside, Midnight Black is 1 of the 2 stylish colors we offer in the Sport Sack KNAVIGATE, and don’t worry all the colors have a slimming effect! Our dog carrying backpack is designed to keep your dog safe and secure. Its the ultimate dog backpack for hiking!
USA-BASED COMPANY, PERFORMANCE GUARANTEED: Wrong size? No problem. Any issues? We’re here for you. Whatever the problem may be don’t worry we’ll cover it, but we’re happy to hear any good stories and see your adventures with your dog. This puppy backpack is backed by a 60-Day Quality Guarantee. Must be sold by seller ""K9 Sport Sack"" or warranty is voided."
72,6,1,12,"Thirstystone Brand - Desert Sand Coaster, Multicolor All Natural Sandstone - Durable Stone with Varying Patterns, Every Coaster Is An Original 4 inch round",14.21,"All natural sandstone - these Thirstystone coasters are made from natural sandstone, with an organic design derived from natural stone formations. Every coaster has a varying pattern and adds a stunning piece of decor to any room.
4"" Round - these natural stone coasters are four inches in diameter and one half inch thick. Fit perfectly in a Thirsty stone pedestal coaster holder.
Protective - tired of drips on your kitchen counter or water rings on your coffee table? Use these Thirsty stone coasters to protect in every room of the house. Dining Table, kitchen, bedroom night stands, Coffee table or living room end tables, These coasters are great for anywhere!
No scratch - our Thirstystone all Natural sandstone coasters have a natural cork backing to protect any surface from scratches or scuffs and keep the coaster from sliding.
Care - Since these coasters are made from true stone, please gently hand wash with soap and water, then let completely dry. Please let coaster Dry between uses.
Genuine Thirsty stone - Don't be fooled by other coasters that try to imitate Thirsty stone's quality and look, make sure you get real Thirsty stone branded sandstone coasters!"
73,7,4,13,"Pantene Sulfate Free Shampoo and Conditioner plus Hair Mask Shot Treatment with Rose Water, Nutrient Blends Miracle Moisture Boost",12.55,"-Rose water shampoo that gives soothing hydration for thirsty hair. You will receive 1 9.6 oz bottle of shampoo, 1 8 oz bottle of conditioner and 1 0.5 oz Hair Mask shot.
-Nourishing conditioner helps seal in moisture for silky softness.
-Hair Mask shot: dry hair moisturizing treatment noticeably repairs extreme damage in 1 use.
-Color-safe formula that’s safe for chemically treated hair."
74,6,3,12,"Tertill Garden Weeding Robot - Prevents Weeds in Vegetable Gardens, Solar-Powered, Makes a Great Gift",296.95,"EASY TO USE – Place Tertill in any garden that meets the requirements, press the button once to wake it up, and again to make it go. From the inventor of Roomba.
GARDEN REQUIREMENTS – 4-inch (or higher) border, a foot between plants or rows, a relatively flat (slope of less than 7 degrees), and relatively smooth surface. Place Tertill in a weed-free garden to start. Each robot can maintain up to 200 sq. ft.
PLANTS vs WEEDS – Tertill uses height to identify plants from weeds. Anything tall enough to touch its front sensors is considered a plant and Tertill will turn away. If it passes under the robot, Tertill cuts it. Included plant guards protect desired seedlings not tall enough to be detected by the robot.
STAYS in the GARDEN– Tertill never goes on vacation or has something better to do. It is weatherproof and can stay in the garden from Spring through Fall. Solar-powered, it never needs to be charged!
GREAT GIFT – Perfect for busy moms, dads, grandparents or anyone who doesn't have the time, ability or desire to weed the garden, but still wants to grow fresh healthy vegetables for their family.
FREE APP & SUPPORT – Free smartphone app lets you monitor your robot and upgrade software. Free customer service at Support@Tertill.com. 1-Year Warranty.
NOT FOR LAWNS or SLOPED AREAS"
75,6,3,12,"Expandable Garden Hose, Lightweight Retractable Water Hose, With 10 Functions Nozzle, With Soap Bottle, 3 Times Expanding, Kink Free, With 3/4 Inch Solid Brass Fittings And Double Latex Core",45.99,"1. 【Lightweight and Portable】: The flexible hose are light in weight, and the quality is also very good, which feels very handy to use. Equipped with storage bags and hooks, which is convenient to store and does not take up too much space. When water is turned on, the expanding water hose can be extended to three times its original length, enough to extend to any place in the yard, and it is not easy to kink.
2. 【Nozzles with 10 Functions】: Rotate the baffle to choose the nozzle type you need: Full, Flat, Shower, Cone, Jet, Soaker, Angle, Mist, One Half Vertical and Center. The nozzle is easy to hold, ergonomically adequate, The squeeze handle design is much better than the thumb adjustment design, it also has a Hold switch mechanism, so you don’t need to keep it hard.
3. 【Equipped with a Soap Bottle】: Compared with other garden hoses on the market, we also have a bottle for detergent. Introduce detergent into it, then use it with the spray gun, which can produce rich foam, you don't need to have a separate bucket of soapy water anymore. Adjust the amount of foam with the rotary switch, makes it easy for you to clean your car and bathe your pet.
4. 【High-quality Parts】: The material of the joint is solid brass. The heavy duty hose uses a double latex core and 3750D polyester fabric cover to prevent breakage and leakage. It can withstand water pressures of 4 to 8 Bar, and withstand temperatures between 14 degrees Fahrenheit and 176 degrees Fahrenheit. Even in winter, there is no need to worry about leaks, tears or breaks in water pipes.
5. 【Wide Range of Uses】: This garden hose is suitable for all your outdoor watering needs, including car, house, floor, yard washing, garden watering, and even pet cleaning."
76,7,3,9,"Juicy Couture Viva La Juicy Noir Eau de Parfum Spray, Perfume for Women, 3.4 oz",72,The daring aura of noir will lure you in with adventurous fruit flavors and sultry sandalwood.
77,7,3,9,"Tom Ford 'Oud Wood' Eau de Parfum 3.4,Black",332.01,"Tom Ford Private Blend Oud Wood Eau De Parfum Spray - 100ml/3.4oz
An oriental woody fragrance for men & women War
Tom Ford"
78,4,3,4,"Paperage 3 Pack Lined Journal Notebook, Bulk Classic Hardcover, 5.7 x 8 inches, 100 gsm Thick Paper for Office Home School Business Note Pads(Black, Ruled)",19.95,"HARDCOVER JOURNAL: 3 notebooks sized medium 5.7 X 8 inches. These are a best seller with a simple design and timeless style. They features a durable and water-resistant vegan leather cover, inner expandable pocket, rounded corners, 160 pages, ribbon bookmark, and an elastic closure band. The medium size makes it the perfect choice for all your journaling or note taking needs.
GREAT VALUE WITH A MULTI-PACK: Our value packs of 3 notebooks are a great way to stock up for all your journaling and note taking needs. With a multi-pack you'll never run out and always have an extra on hand for the home, at the office, and for school - a convenient option for on-the-go students or busy professionals!
PREMIUM PAPER: Our journal paper is made with quality, 100 gsm, acid-free paper so you never have to fear your favorite pen, marker, or pencil will bleed ink or disappear. Your journaling and notes will stay neat and legible to let your big ideas shine bright!
LAYFLAT DESIGN FOR WRITING EASE: Our thread-bound notebooks are designed to lay flat on a variety of surfaces making it easier to write for right and left handed users. Journaling, note taking, and bullet journal style set ups have never been more fun with a Paperage journal.
SO MANY COLORS : We have a wide variety colors to suit every mood! Not only can you get three journals in the same color, we also offer a variety pack of three different journal colors."
79,4,3,11,"TAKA PRYOR Lined Journal Notebook,Journals with Magnetic Closure,Personal Professional Notebooks,with Pen Holder，Medium 5.7 x 8.3 inches, 120 GSM Thick Paper(Blue Ruled)",12.99,"Hard Cover Journal: – 200 Pages (100 Sheets) premium lined paper, which is thick and cut evenly, resisting ghosting and ink bleeding.We use 120 gsm acid-free paper in a light ivory color, Lines width 9mm.
STYLISH AND PROFESSIONAL MAGNETIC CLASP NOTEBOOK: Perfect notebook journal for work, taka pryor office, business, meeting notes, journal writing. Great professional notebooks and journals for writing. Men's and women's.
The Perfect Gift - This notebook/journal is perfect as travel notebook, business notebook and also excellent gift for Birthday, Halloween, Christmas, or back to college choice for yourself, family and friends.
ABOUT Paper: We are committed to bringing our customers premium paper products using high quality components, taka pryor top notch construction and innovative design. Our Paper pledge is to provide awesome products at an affordable price without sacrificing.
Quality.Multi- purpose notebook: standard size, easy to carry, meets the need of writing, suitable for study, journal, work and travel."
80,5,1,5,"Donerton Wireless Earbuds, Bluetooth 5.1 Sport Headphones with Charging Case, 10Hours Single Playtime Earhooks Headset",32.99,"bluetooth 5.1 and stereo sound quality: Donerton bluetooth headset bring you for a better music experience. compared to bluetooth 5.0, the 5.1 version features fast and stable signal transmission, clear sound quality without skips and distortion and low power consumption. at the same time, stereo headphones provides sound quality, the sound of immersive music scene surround sound, let you feel more realistic music!
ip7 waterproof: sports earbuds design, internal nano coating protects the headphones from heavy rains or sweat throughout intense exercises; just enjoy your time when running, jogging, riding, hiking, fitness, or in the gym. keep your headphones in good working order, even if you are drenched sweats after a grueling workout.
ergonomic earhook design: with lightweight and ergonomic design, Donerton earhooks headset is a great combination of comfort and stability with ear hook and in ear fitting designed for strenuous workouts. lightweight and ergonomic design, customizable accessories with large, medium, and small size of gel eartips; soft silicon earhooks ensure comfortable and secure wear in even intense workout.
950mah charging case and led display: the charging box with built in 950mah battery can provide up to 40 hours of continuous music time. put the earbuds into the charging box and will charge automatically. the charging box has an led display that lets you know when it is the best charging time, Donerton bluetooth earbuds are your great companion for sports and travel!
easy to use: control buttons on the headphones so that you can play and pause music, adjust the volume, skip tracks, answer and end calls, and activate the voice control of your phone with one simple operation on the headphones. these headphones are compatible with most ios and android smartphones."
81,5,2,5,Bose Headphones,249.99,N/A
82,4,2,4,Heavy duty binder Folder,6.99,Binder Folder to organize your files
83,4,4,11,Pens - 20pc,4.99,Pack of 20 blue pens
84,4,4,11,Pencils - 20pc,3.99,Pack of 20 skectching pencils
85,4,1,11,HP Ink Cartridge,7.99,N/A
86,7,2,9,Lakme Make up kit,29.99,Lakme premium make up kit
87,7,1,13,Mens hair styling gel,12,Mens hair styling gel
88,6,2,6,Floral Twin XL Bedsheet,19.99,Pure cotton twin xl bed sheet
89,6,2,6,Scented Soaps - 6 pack,29.99,Scented Soap 6 different fragrances
90,6,4,6,RBG Led decorative Light strips,15,2 meter of led light strip can be used indoors and outdoors
